,title,label
217,"in the second quarter of 2010 , the group net profit rose to eur 3.1 million from eur 2.5 million in apriljune 2009 .",1
224,"kesko agro eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by onetenth over the preceding year .",1
1512,"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , says matti leminen , president of anttila oy .",1
4348,"the evidentiary hearing in the investigation is scheduled for april 21 may 1 , 2008 .",2
2730,"3 january 2011 scandinavian lenders sampo bank hel samas , pohjola bank hel poh1s and svenska handelsbanken sto shb a have provided a eur160m usd213m line of credit to lemminkainen oyj hel lem1s , the finnish construction firm said on friday .",2
1410,the product frontedge folding maximizes weather resilience and enables a seamless roof finish .,2
3325,"the point village , designed by scott tallon walker , will include a shopping center , office premises , a hotel and a cinema .",2
4361,these restrictions do not apply to statutory dividends .,2
947,"estonian telecoms company elisa customer numbers cross 400,000 tallinn , oct 22 , bns the estonian telecommunications company elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of september , the company said .",1
2169,"omeo www.omeo.se employs 55 and expects net sales of some 23 mln euro 29.8 mln for fiscal 20062007 , ending april 30 , 2007 .",2
3334,"the product advisory does not apply to any other nokiabranded battery , the company said .",2
4395,earnings per share eps dropped to eur 0.21 from eur 0.31 .,0
4227,panostaja oyj board also decided at its organisational meeting held upon completion of the agm to implement the agm decision concerning board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterlyannual report .,2
3626,"in addition to software development , the new design unit will provide for mechanical engineering and electronics design .",2
2883,"estonia agriculture minister helirvaldor seeder is in finland on a twoday visit , in the course of which he will meet with his finnish counterpart sirkkaliisa anttila .",2
3995,return on investment roi was 4.1 compared to 43.8 in the first half of 2008 .,0
1078,teliasonera is the leading telecommunications company in the nordic and baltic regions .,1
4667,device volume in the area decreased by 21 to 2.7 mn units .,0
1386,"the handset also features a media bar for quick access to favorite media and applications , including music , photos , youtube or ovi share .",2
3687,"mr. mcdonald started the evening with his own set , featuring hits from his solo career and his doobie brothers years and a selection of r b cover songs that met with mixed results .",2
1440,"they re in a race with google to get lots of users onto their service as social networking creates new business models , said martin garner , a londonbased analyst with ccs insight .",2
4038,"operating loss totalled eur 4.0 mn , compared to a profit of eur 8.6 mn in the second quarter of 2008 .",0
1580,pharmaceuticals netherlands this brandnew market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in netherlands .,2
3348,the sale of the food potato business is part of raisio plan to streamline and clarify its business operations .,2
1996,"as a result of the cancellation , the maximum increase of citycon share capital on the basis of the convertible bonds decreased from eur 23,383,927.80 to eur 22,901,784.75 .",2
1216,"eqt has completed its exit from salcomp , a finnish company that makes mobile phone chargers , by selling its remaining stake to swedish investment group nordstjernan for about euro 35 million 47 million .",2
1388,"the important thing now is to keep the bank existing 15,000 customers .",2
3267,"the hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal .",2
552,more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,1
4168,among the biggest christmas sellers were a 35 satin bow shift dress styled on outfits worn by victoria beckham and a 75 paris hilton prom dress .,2
3698,"nordea bank ab publ holds 6.000 alma media shares , representing 0.008 of share capital and voting rights .",2
3346,the report will be emailed within 2 business days of an order .,2
2378,"member of the hk ruokatalo group in finland , scan , is launching a joint venture slaughterhouse with team ugglarp in sk ne , southern sweden .",2
2035,roshan net sales in 2006 were 191 million and ebitda was 66.5 million .,2
1515,delivery will start immediately in june 2008 and will be completed in 2008 .,2
1518,elisa will expand the use of this technology provided the pilot proves successful .,2
1860,poyry has a good track record of major transportation projects in latin america .,1
3639,"in the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",2
2171,operating profit for the quarter apriljune 2006 amounted to eur182 .2 m on sales of eur3 .62 bn .,2
4390,"as capacity was cut with 1.4 , the passenger load factor was down 7.8 percentage points .",0
360,profit for the period increased from eur 2.9 mn to eur 10.5 mn .,1
310,"we also strengthen our existing partnership with cybercom , says teleste cto esko myllyla .",1
2444,"elisa corporation will disclose its financial statements for 2006 on thursday , 8 february 2007 .",2
1262,it is expected to be completed by the end of 2007 .,2
2245,"then , it said the contract was estimated to contribute more than eur150m to its net sales in 2010 .",1
3530,around 250 of these reductions will be implemented through pension arrangements .,2
966,rautaruukki said construction group yit has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the kemijoki river in northern finland .,1
476,"alexandria , va. , may 16 kenneth bower of vista , calif. , has developed an ornamental design for a handset , the u.s. patent trademark office announced .",2
3219,"the contract includes software licences , application maintenance and training .",2
2446,"erkki jarvinen , president of rautakirja and the head of the sanoma trade division , will leave his current tasks in spring 2009 for a similar position outside the sanoma group .",2
2960,in the meantime the ceo duties will be assumed by outotec deputy ceo seppo rantakari .,2
678,"adpnews feb 5 , 2010 finnish real estate investor sponda oyj hel sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",0
4691,net profit fell by almost half to 5.5 million from 9.4 million at the end of 2007 .,0
1625,"the contracts awarded to date , in connection with the system , amount to a total eur 36 million .",2
4835,"in the baltic states the company reports net sales of eur 11.9 mn , down from eur 14.2 mn , and an operative ebit of eur 2.2 mn , down from eur 1.7 mn .",0
743,"patja has worked well for us for more than a decade , and fujitsu new bid was competitive .",2
2698,"under a preliminary estimation , the technology park will measure about 50,000 square meters .",2
1147,finnish rautaruukki is selling its precision tube and automotive component processing unit carl froh in germany to german arques industries .,2
3988,"in the asiapacific region , visa wave is available in malaysia , taiwan and south korea and will be expanded to japan and southeast asia this year , jung added .",1
1190,"capman has four investment areas capman buyout , capman technology , capman life science and capman real estate , and each of them has a dedicated team .",2
1988,"upon completion , keskuskatu will form the backbone of helsinki pedestrianised downtown area , linking up with the city other main pedestrian precincts .",1
4635,"in finland , the bank of land reports its operating profit fell to eur 6.1 mn in the second quarter of 2008 from eur 7.5 mn in the second quarter of 2007 .",0
3035,"more than 50,000 tonnes of asphalt mix will be used in the contract .",2
1592,ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,2
3424,"this will be done domestically and in neighboring markets , both organically and through acquisitions .",2
2606,the company then said it will focus its resources on clinical research .,2
3099,r d loan .,2
1127,"i m happy with the outcome , sneed said after the hearing .",1
2408,"as a result of the transaction , sanoma budapest has acquired a stake in the online store egeszsegbolt .",2
4489,at the same time i am delighted by the fact that we were able to accomplish the organization with our own team members .,1
1646,"the outsourced scan and capture solutions transfer paper invoices into electronic format , and basware business transactions service allows the customer to receive and send invoices in an electronic format .",2
2383,"according to gallup food and farm facts , beef consumption totaled 99mn kilos in finland in 2007 .",2
3264,the group said it intends to initiate within this year the process of buyout of minority shareholders of ragutis with the aim of becoming the sole owner of the company .,2
4438,"we cut our frequency to new york last year , which explains the fall , he said .",0
3909,"the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland .",2
3850,the figure does not include food exports from finland .,2
3195,"the company operates worldwide and employs in total approximately 47,000 persons .",2
2212,the company reports a loss for the period of eur 0.4 mn compared to a loss of eur 1.9 mn in the corresponding period in 2005 .,1
2757,"swedish engineering consultant firm etteplan is to establish a unit in town borl nge , by the turn of the month marchapril 2008 .",2
1952,"this is a significant milestone for benefon , helping us to secure critical usp for our personal navigation product roadmap for 2007 and beyond , commented simon button , chief technology officer at benefon .",1
1655,the solid fuel is heated before sludge is mixed therein .,2
1472,our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,2
1873,the winners included the honda odyssey for minivan and the nissan armada for large suv .,2
3149,"teollisuuden voima oyj , the finnish utility known as tvo , said it shortlisted mitsubishi heavy s euapwr model along with reactors from areva , toshiba corp. , ge hitachi nuclear energy and korea hydro nuclear power co. .",2
2371,aker yards finland will begin using chinese subcontractors at its finnish shipyards .,2
4112,all reproduction for further distribution is prohibited .,2
3974,vaisala expertise in lightning data and information systems is based on extensive experience and investment in r d .,2
1724,"finnish lifting equipment maker kone oyj said on october 4 , 2007 it won an order worth 15 mln euro 21.2 mln to deliver a total of 53 custom designed elevators to norwegian shipbuilder aker yards asa .",1
1270,"jawad williams scored 23 points in an impressive debut for jerusalem , with jason rich adding 18 and yuval naimi chipping in with 16 points for hapoel , which visits the yellowandblue next week .",1
2726,"19 may 2010 finnish company lemminkainen oyj hel lem1s said today that it will construct an office building at toolonlahti in downtown helsinki , without disclosing financial details .",2
857,"known as post bank , the concept would see fidelity bank rolling out 75 offices in ghana post premises , to provide financial services to the people .",1
2452,"financial statements include the consolidated financial statements of the group , the board of directors report , the auditors report and the corporate governance statement .",2
1829,"finnish newspaper publisher sanoma , of media group sanomawsoy , is merging its free sheets uutislehti 100 and metro as of midseptember 2008 to form a new free sheet to be named metro .",2
4254,the exercise originated in finland in the early 1930s as a training method for crosscountry skiers .,2
769,major order in india comptel corporation has received a significant longterm order for mediation and provisioning solutions being used by a leading operator in india .,1
4705,pretax profit decreased by 37 to eur 193.1 mn from eur 305.6 mn .,0
729,"for example , net sales increased by 5.9 from the first quarter , and ebitda increased from a negative eur 0.2 mn in the first quarter of 2009 .",1
4841,london marketwatch share prices ended lower in london monday as a rebound in bank stocks failed to offset broader weakness for the ftse 100 .,0
1396,"the most interesting export markets will be russia , the baltic countries and scandinavia .",2
1807,"mr. mika korpinen , apac vice president for comptel concludes comptel is once again demonstrating the importance of providing reliable delivery and enabling timetomarket .",2
423,"compared with the ftse 100 index , which rose 94.9 points or 1.6 on the day , this was a relative price change of 0.4 .",0
4310,"cramo manager jarmo laasanen said hiring of equipment and machinery in lithuania differs from the other baltic countries in that in lithuania still many public structures such as roads , bridges , airports and shops are being built .",2
1051,"last year , lemminkainen completed the kouvola ksupermarket contract .",1
686,"in augustoctober 2010 , the company result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",1
408,"thereby , the company will expand its offering to north , central and south america .",1
4471,this ideally placed them in a position to tap into the potential of clean technology .,2
2632,the first group of customers to be trained will be paintshop owners and their assistants .,2
3934,the value of the contract is in total usd12m .,2
4642,operating profit for 2009 lower than outlook published earlier .,0
4300,4 january 2011 finnish media company alma media corporation hel aln1v said today its online recruitment service monster oy will partner with local newspaper publisher suomen lehtiyhtyma in listing job advertisements .,2
1622,"the construction of a large woodworking facility in the sheksna district of the vologda region , in northwest russia , will begin in 2009 , and the plant will start production in 2011 .",2
4396,emsa deputy chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not informed the estonian union yet .,0
3293,"the new kroksberg railway tunnel will be built on a new section of track between harnosand and veda , forming part of the line that follows the coast of the gulf of bothnia .",2
192,finnish cutlery and hand tools maker fiskars oyj abp hel fisas said today its net profit rose to eur 24.1 million usd 33.6 m in the third quarter of 2010 from eur 17.9 million a year earlier .,1
4106,"so far norwegian norske skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while finnishswedish stora enso is to cut staff by 1,700 people and production by 500,000 tons .",0
575,"to prove the efficiency of the china mobile system , rod baber , an english climber , climbed to the mount everest summit and successfully made calls .",1
3686,mr. koistinen joins from nokia siemens networks where he has held various senior sales management and business development positions since 1997 .,2
4497,"continuing operations turned an operating loss of eur 0.1 mn , a slight improvement from a loss of eur 0.2 mn a year earlier .",1
2732,"a coker crane will be supplied to tesoro corporation golden eagle refinery in martinez , california , while a similar crane will be delivered to bp castell refinery in spain .",2
672,the company slipped to an operating loss of eur 2.6 million from a profit of eur 1.3 million .,0
4146,"tweeple should check who following them , and be cautious when clicking on urls and tinyurls .",2
306,"tietoenator itself uses nokia intellisync mobile suite wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",1
4045,"publishing sweden operating loss was eur 1.1 mn in q1 of 2009 , compared to a profit of eur 0.6 mn a year ago .",0
4752,"operating profit totaled eur 6.7 mn , down from eur 7.2 mn in the corresponding period in 2005 .",0
820,"adanac molybdenum of canada has ordered grinding technology for its molybdenum project in british columbia , canada , while shalkiya zinc of kazakhstan has awarded a contract for grinding technology for the shalkiya zinclead project in kazakhstan .",1
2045,the finnish company claims to have over a quarter of a million contented tulikivi fireplace business and homeowners worldwide .,2
1070,"pearl plaza llc , the joint venture of srv and shanghai industrial investment holdings co ltd , has concluded the investment decision on construction of the first phase of the shopping center in saint petersburg , russia .",1
1422,the share of the share capital of both above mentioned shareholders remains below 5 .,2
1567,"nokia will continue to invest in future development of qt for the benefit of all users , both commercial and lgpl .",1
3122,singapore in may 2011 1 july 2010 finnish air carrier finnair oyj hel fia1s said today it will open a daily route to singapore on 30 may 2011 as part of its growth strategy in asia .,1
3971,upon completion of the deal panostaja will establish a new business area within the group to focus on heat treatment of metals .,2
3943,"the venture , which will be 51 owned by kemira and 49 by ivrcl , will operate an inorganic coagulant manufacturing facility , to be built in vishakapatnam vizag in the state of andhra pradesh and to kick off operations in the second half of 2011 .",2
3470,"the group s cumulative sales during the review period were eur 48.2 million eur 53.1 million , 19 2007 and profit before taxes was eur 1.2 1.4 million .",2
3719,"payment for acquired shares will be made in cash , and the price per share will be eur 1 plus an administration fee .",2
329,eps grew to 0.04 eur from 0.02 eur .,1
4336,the beers differ slightly from mainstream beers .,2
4742,"in the baltic countries , development of operations and reorganisation continued , and nonrecurring items related to the takeover process lowered earnings .",0
3754,"technopolis has set aside a plot of land measuring 4.6 hectares to build the park , mikkonen said .",2
1697,"when new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",2
2023,"instead , elcoteq has signed a nonbinding letter of intent with another asian strategic investor .",1
1420,the server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,2
2298,rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,1
921,we are now in a position to pursue novel clinical candidates going forward .,1
2364,"a replay will be available until 27 october 2006 in the following numbers us callers 1 617£801£6888 , nonus callers 44 20 7365 8427 , access code 2659 5401 .",2
2595,the company has some 410 employees and an annual turnover of eur65 .4 m. vaahto group is listed on the nordic exchange in helsinki .,2
3097,protalix is developing genetically engineered proteins from plant cells .,2
3180,the combined value of the planned investments is about eur 30mn .,2
4735,"however , the company saw its net profit for the third quarter down to eur1 .4 m from eur1 .5 m for the corresponding period of 2009 .",0
3796,the company has 120 employees and annual sales of approximately eur16m .,2
1818,the indexes include the top companies that are committed to sustainable development .,2
2453,"financialwire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",2
326,earnings per share eps rose to eur 0.11 from eur 0.03 .,1
2246,these measures are expected to produce annual cost savings of eur 1.5 million starting in 2007 .,1
247,operating profit rose to eur 26.7 mn from eur 14.9 mn in the corresponding period in 2006 .,1
674,cramo slipped to a pretax loss of eur 6.7 million from a pretax profit of eur 58.9 million .,0
1464,assa abloy kaupthing bank gave a neutral recommendation and a share price target of 174 crowns 24.7 19 euro on swedish lock maker assa abloy ab .,2
3002,kirsi rantanen was previously development director for hk ruokatalo poultry business .,2
2319,"together , yahoo and nokia said they will continue to deliver internet experiences that address the core needs of consumers , developers , operators and advertisers .",2
2205,the company also said that its board of directors has proposed a profit distribution of eur0 .92 per share .,2
3389,the value of the order is about eur 30mn .,2
1887,"we are happy to be working with rapala to encourage boaters and anglers to introduce newcomers to the sport , said rbff president ceo frank peterson .",1
730,"mobile phone sales rose 25 to 5.87 billion euros , while enterprise solution sales dropped 39 to 186 million euros .",1
3863,the markets expect heineken to sell hartwall as a whole or in parts .,2
1498,"and when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",2
1330,"s p has kept its sell rating , while nordea and ubs have reaffirmed their buy recommendations .",2
3700,nordea will coordinate the syndicated loan .,2
1648,the pipeline is strong .,1
2529,"of the company net sales , 38 was acquired in finland , 21 in other european countries , 40 in asia , and 1 in the us .",2
2086,corporate it update c 19952009 m2 communications ltd finnish technology group teleste corporation omx helsinki tlt1v reported on wednesday 4 february an operating profit of eur5 .6 m on net sales of eur108 .7 m for the year 2008 .,2
3223,"the contracts between raute corporation and muling kemian wood products co. , ltd. , which were announced on 3 november 2010 , have taken effect .",2
4450,the dismissed staff members will now take the matter to court unless it can be settled outside .,0
2339,"according to the act , universities can now acquire private funding .",2
4137,"the purchase price will be paid in cash upon the closure of the transaction , scheduled for april 1 , 2009 .",2
4541,"as a result , the russia import restrictions on finnish dairy companies will be canceled on 6 august 2010 .",1
475,"alexandria , va. , july 11 hannu kahonen of juuka , finland , has developed an ornamental design for a handle for fire pit door , the u.s. patent trademark office announced .",2
515,"the corresponding increase in the share capital due to these subscriptions with the warrants , in total eur 1,860.74 , was registered with the finnish trade register on january 4 , 2008 .",2
4290,viking line has canceled some services .,0
4833,"in finland hobby hall sales decreased by 10 , and international sales fell by 19 .",0
363,"revenue from july to september grew 21 percent to euro 2.3 billion , the finnish company said thursday .",1
579,patrizia adds the acquisition to a portfolio already worth eur3bn .,2
4013,earnings per share eps amounted to a loss of eur0 .38 .,0
321,affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached eur 103 million .,1
629,hybrid bond 18 january 2010 finnish it consultancy trainers house oyj hel trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,2
4417,"operating profit , excluding nonrecurring items , totalled eur 1.0 mn , down from eur 1.6 mn .",0
895,the companies have agreed on longterm cooperation to mechanise harvesting in stora enso eucalyptus plantations in southern china .,1
2197,"the 5050 joint venture , to be called nokia siemens networks , will be comprised of nokia network business group and siemens carrierrelated operations , creating estimated synergies of 1.5 billion euros 1.9 billion by 2010 , nokia said .",1
4116,"established in 1987 , the srv group is a private finnish construction concern with operations in finland , the baltic countries and russia .",2
4776,"the share issue , derogating from the preemptive right of the shareholders and comprising some six million new shares at market price , will be offered for subscription by shareholders , holders of capital notes and by professional clients .",2
1703,finnish plumbing and heating systems supplier uponor corporation omx helsinki unr1v said on tuesday 12 august that its board of directors has authorised the management to proceed with a companywide cost reduction program .,1
4425,the acquisition of landsbanken sverige in 2009 burdened the performance with eur 3.0 mn .,0
404,the company intends to raise production capacity in 2006 .,1
2971,investment management and investment advisory services are the company sole line of business .,2
2026,"lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the yearearlier figure of 245.92 million liters .",1
3380,the total value of the deliveries is some eur65m .,2
377,"the earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",1
2623,the deal will have no significant effect on the acquiring company equity ratio .,2
2067,3 january 2011 finnish flag carrier finnair oyj hel fia1s said today it sealed a nineyear sale and leaseback agreement for its newest airbus a330 aircraft for syndication into the japanese operating lease market .,1
365,ruukki order book at the end of 2010 was 30 up yearonyear and 10 up quarteronquarter .,1
3906,"the staff reduction will start immediately , glaston added .",0
3349,the sale price was not disclosed .,2
1289,nasdaqlisted yahoo inc has introduced a new service that enables malaysians to take their favorite internet content and services with them on their mobile phones .,1
3228,the deal includes an option for cramo to buy out the minority stake in 2011 .,2
4582,"operating profit for the 12month period decreased from eur9 .6 m while net sales increased from eur69 .0 m , as compared to 2005 .",2
1618,the company advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations .,1
3772,the bridge is part of the highway 14 development project .,2
1365,the company is studying the feasibility of focusing most of its processed meat production in the vantaa facilities and the processing of fresh meat in the forssa facilities .,2
392,the finnish company stockmann has signed the contract with the company technopolis .,2
2989,"its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",2
941,"as a result , the distribution companies will start to distribute , in addition to their current product offering , shimano reels , rods and other shimano fishing tackle products on an exclusive basis .",1
3566,"currently it operates a fleet of eight carriers , as well as nine pushers and barges .",2
1132,they want my credit card info and my personal details .,2
880,"savon koulutuskuntayhtyma , finland based company has awarded contract for specialist agricultural or forestry machinery .",1
2158,net sales are expected to remain on the same level as in 2007 .,2
1979,"it even a little bit higher than yara multiples on itself , an analyst in helsinki said .",2
1227,"founded in 1649 , fiskars has over 360 years of product quality excellence and is finland oldest company .",2
1338,south america and asia are other promising markets .,2
977,the company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was eur 67.1 million .,1
2349,the price will be specified at the completion date .,2
4521,our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .,2
3641,"in the czech republic , the smaller profiling unit at ostrava will be closed and the machinery will be gradually relocated to ruukki bigger plants in hungary , poland and romania by the end of the first quarter of 2009 .",2
2258,with this acquisition panostaja oyj further expands its business area specialising in digital printing .,1
1036,finnish civil aviation administration decided to temporarily reopen finnish capital helsinki airport since 3 p.m. to 11 p.m. monday local time .,2
4100,the district court of helsinki dismissed all charges as the court of first instance in 2005 .,1
2484,"in future , the plant will focus on the production of flange profiles for wind farm towers .",2
4215,"adp news jan 27 , 2009 finnish industrial machinery company vaahto group ltd oyj hel wat1s said today that its subsidiary vaahto ltd would cut 15 jobs in finland .",0
369,stora enso thirdquarter pretax profit doubled to eur 197mn .,1
2939,"honkarakenne also decided yesterday to sell 88,500 of its bseries shares to key staff members for eur 2.90 per share .",2
948,"exel composites longterm growth prospects remain favourable , however .",1
2901,"finnish investment group neomarkka oyj hel nembv said today that it will buy the former production facilities of kuitu finland ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",2
2358,"1 p.m. central office of nordea bank 19 3ya ulitsa yamskogo polya , building 1 telephone 495 7773477 ext. 3932 , 3931 03.02.2011 unimilk egm 0304 .02.2011 xvi international businesssummit food business russia 2011 will take place .",2
48,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,1
1060,"mr. mikko saavalainen , head of comptel global sales concludes gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their oss today .",2
1525,"finnish software and hardware developer elektrobit oyj hel ebg1v , or eb , said today it will temporarily lay off up to 200 people for a maximum of 90 day in finland , aiming to achieve cost savings of eur 1.7 million usd 2m in the second half of 2010 .",0
2044,"the estimated turnover of the new company is lvl 2,5 million eek 40 million .",2
2669,the proposal by the board of directors on the issuance of option rights will otherwise correspond to the proposal by the board of directors in the notice to the general meeting .,2
4679,finnish media company talentum oyj net profit decreased to 2.5 mln euro 4.0 mln for the first quarter of 2008 from 3.0 mln euro 4.7 mln for the same period of 2007 .,0
3096,"protalix closed at 10.71 on friday on the american stock exchange , giving a market cap of 827 million .",2
789,the group business is balanced by its broad portfolio of sports and presence in all major markets .,2
1284,"meego learns as you use it , fisher said , putting the most important things up top .",2
3959,"tvo twounit 1,740 mw olkiluoto plant generated 14.2 twh with an operating ratio across both reactors of 93.5 , which the company described as high by international standards .",2
3448,"water treatment products in australia today , global research data services is going to publish a market analysis about the market for chemical water treatment products in australia .",2
1456,what would you like to see changed on nokia next attempt,2
368,sales of security and system packaging increased slightly .,1
3681,"motorola accounted for 11.5 percent of the south korean handset market as of the end of april , samsung held 55 percent and lg electronics 19 percent , according to koreabased atlas research group .",2
2704,we offer our customers solutions based on renewable raw materials .,2
3767,"the area will also include some central buildings , and honkarakenne has started negotiations on their delivery .",2
3918,"the total headcount reduction will be 50 persons , the company said .",0
2406,as a part of the agreement 10 employees from the john deere forestry documentation functions will transfer to dokumentori oy .,2
1112,"the value of the deal exceeds eur500 ,000 , the company said .",2
3519,"alexandria , va. , nov. 19 erkki aho , elimaki , finland , has developed a method and apparatus in conjunction with a shoe press .",2
3190,"the company has decided to stop the operations of ruukki construction division in latvia and lithuania , and concentrate the production and logistics in parnu , estonia in 2009 .",2
1720,"the seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in vietnam .",1
